"","clock_type","Yes_avg","No_avg"
"1","ageAcc.Horvath","7.51100028176965","12.3636885519763"
"2","ageAcc2.Horvath","-0.32931552702975","1.56225664123845"
"3","ageAcc3.Horvath","-0.264725680796179","1.30586186126447"
"4","ageAcc.Hannum","-0.34956846328216","-1.01111671089638"
"5","ageAcc2.Hannum","0.423430545534215","-3.20086086658451"
"6","ageAcc3.Hannum","0.259091269718539","-2.6481944673461"
"7","ageAcc.Levine","-18.8419064045742","-12.3289486438042"
"8","ageAcc2.Levine","0.984977495158518","5.17313316731424"
"9","ageAcc3.Levine","0.723130152248764","4.71573173832161"
"10","ageAcc.Hovarth2","13.8755059005137","15.0630323261232"
"11","ageAcc2.Hovarth2","0.0283865469667738","-0.964839393885244"
"12","ageAcc3.Hovarth2","0.00123911038660676","-0.8137314826986"
